patternID,endDate,actualReturn,mean,variance,median,upside,downside,#searchResults
SP500,2002-12-17,-0.0116502,0.0021373,0.0003922,0.0022598,0.0195460,-0.0166483,600
SP500,2002-07-12,-0.0799227,0.0030460,0.0005766,0.0016780,0.0285448,-0.0183374,600
SP500,2005-05-03,0.0043490,0.0003677,0.0002276,0.0019767,0.0131866,-0.0143475,600
SP500,2000-10-10,-0.0267120,0.0011242,0.0004236,0.0012357,0.0204276,-0.0188778,600
SP500,2010-11-24,0.0193433,0.0031485,0.0003274,0.0046602,0.0185817,-0.0162936,600
SP500,2009-07-15,0.0229339,0.0007048,0.0004721,0.0016945,0.0193777,-0.0192816,600
SP500,2004-12-08,0.0193691,-0.0001267,0.0002482,0.0011540,0.0144548,-0.0166180,600
SP500,2010-07-26,0.0097308,0.0005401,0.0005043,0.0016742,0.0198634,-0.0203338,600
SP500,2011-09-16,-0.0654435,0.0015195,0.0005550,0.0029336,0.0215870,-0.0205013,600
SP500,2004-03-18,-0.0116990,0.0021556,0.0005202,0.0019922,0.0232241,-0.0192218,600
SP500,2003-07-21,0.0181038,0.0027500,0.0003672,0.0026191,0.0220967,-0.0156990,600
SP500,2004-04-26,-0.0158869,0.0011234,0.0002487,0.0025858,0.0147059,-0.0157847,600
SP500,2005-03-11,-0.0086910,0.0017887,0.0002757,0.0015123,0.0191106,-0.0152782,600
SP500,2001-03-01,0.0189409,0.0010150,0.0004453,0.0004654,0.0210822,-0.0179249,600
SP500,2004-09-20,-0.0166458,0.0006877,0.0002248,0.0024611,0.0133736,-0.0155763,600
SP500,2006-12-05,-0.0022618,0.0021230,0.0002585,0.0024772,0.0167760,-0.0134098,600
SP500,2005-05-25,0.0119999,0.0005107,0.0002892,0.0014697,0.0154752,-0.0171541,600
SP500,2011-11-04,0.0084741,0.0023925,0.0004734,0.0034789,0.0234069,-0.0184407,600
SP500,2002-10-11,0.0587440,0.0026765,0.0008180,0.0045776,0.0271831,-0.0249082,600
SP500,2003-09-22,-0.0158777,0.0015846,0.0002538,0.0029290,0.0151996,-0.0139907,600
