searchType,similarity,Pattern L,Projection L,searchResults,TP_median1,TN_median1,FP_median1,FN_median1,HR_median1,TP_unc1,TN_unc1,FP_unc1,FN_unc1,HR_unc1,TP_median2,TN_median2,FP_median2,FN_median2,HR_median2,TP_unc2,TN_unc2,FP_unc2,FN_unc2,HR_unc2,r_mean,p_mean,r_median,p_median,rs_mean,ps_mean,rs_median,ps_median,MSE_mean,MAE_mean,MSE_median,MAE_median,num_forecasts,DecileSpread,VigSpread,PerSpread
0,2,8,8,100,13,0,8,0,0.61905,13,0,8,0,0.61905,13,0,8,0,0.61905,13,0,8,0,0.61905,0.036238,0.43804,-0.023051,0.5395,0.051948,0.41179,0.11688,0.30694,0.3745,0.51568,0.32683,0.47023,21,0.63452,0.55278,NaN
0,2,8,9,100,14,0,6,0,0.7,14,0,6,0,0.7,14,0,6,0,0.7,14,0,6,0,0.7,0.046119,0.42345,0.082389,0.36493,-0.019549,0.5342,0.054299,0.41007,0.36424,0.5089,0.25047,0.40801,20,-0.28631,0.12871,NaN
0,2,8,10,100,14,0,5,0,0.73684,14,0,5,0,0.73684,14,0,5,0,0.73684,14,0,5,0,0.73684,-0.11453,0.67971,-0.32163,0.91033,-0.26491,0.86568,-0.31135,0.90278,0.40424,0.55218,0.2595,0.43065,19,-0.74483,NaN,NaN
0,2,8,11,100,16,0,2,0,0.88889,16,0,2,0,0.88889,16,0,2,0,0.88889,16,0,2,0,0.88889,-0.18717,0.77146,-0.2281,0.81868,-0.27761,0.86997,-0.23095,0.82175,0.44041,0.56531,0.25714,0.43799,18,-0.24101,NaN,NaN
0,2,8,12,100,17,0,0,0,1,17,0,0,0,1,17,0,0,0,1,17,0,0,0,1,-0.38305,0.93545,-0.57542,0.99217,-0.42647,0.95634,-0.42971,0.95742,0.50518,0.59571,0.22641,0.41551,17,-0.33505,NaN,NaN
0,2,9,1,100,17,0,10,0,0.62963,17,0,10,0,0.62963,17,0,10,0,0.62963,17,0,10,0,0.62963,0.23819,0.11576,0.19227,0.16833,0.17155,0.19527,0.075764,0.35361,0.05234,0.17419,0.054253,0.17088,27,0.36524,0.23946,NaN
0,2,9,2,100,13,0,13,0,0.5,13,0,13,0,0.5,13,0,13,0,0.5,13,0,13,0,0.5,0.12842,0.26591,0.14441,0.24077,0.1959,0.16797,0.24197,0.11684,0.16565,0.30863,0.16733,0.27966,26,0.33864,0.56837,NaN
0,2,9,3,100,13,0,12,0,0.52,13,0,12,0,0.52,13,0,12,0,0.52,13,0,12,0,0.52,0.30832,0.066876,0.37175,0.033638,0.24077,0.1226,0.29206,0.07829,0.27658,0.42222,0.30043,0.411,25,0.7382,1.24,NaN
0,2,9,4,100,11,0,13,0,0.45833,11,0,13,0,0.45833,11,0,13,0,0.45833,11,0,13,0,0.45833,0.24396,0.12532,0.17045,0.21293,0.27652,0.095124,0.14634,0.24752,0.36893,0.5117,0.38587,0.5114,24,0.9393,0.9336,NaN
0,2,9,5,100,13,0,10,0,0.56522,13,0,10,0,0.56522,13,0,10,0,0.56522,13,0,10,0,0.56522,0.18201,0.20293,0.24552,0.12941,0.31621,0.070783,0.27841,0.099155,0.35026,0.52028,0.34414,0.5056,23,0.65902,0.52103,NaN
0,2,9,6,100,11,0,11,0,0.5,11,0,11,0,0.5,11,0,11,0,0.5,11,0,11,0,0.5,0.12282,0.29304,0.3094,0.080585,0.27047,0.11129,0.36716,0.046392,0.38587,0.55716,0.3788,0.54813,22,0.78336,0.75797,NaN
0,2,9,7,100,12,0,9,0,0.57143,12,0,9,0,0.57143,12,0,9,0,0.57143,12,0,9,0,0.57143,0.061334,0.39585,0.2644,0.12339,0.28571,0.1043,0.2859,0.10449,0.37305,0.53448,0.35798,0.52497,21,0.8264,0.6231,NaN
0,2,9,8,100,12,0,8,0,0.6,12,0,8,0,0.6,12,0,8,0,0.6,12,0,8,0,0.6,0.026968,0.45507,0.16093,0.24895,0.11128,0.31979,0.22424,0.17095,0.36438,0.50798,0.32694,0.47807,20,0.57711,0.37476,NaN
0,2,9,9,100,13,0,6,0,0.68421,13,0,6,0,0.68421,13,0,6,0,0.68421,13,0,6,0,0.68421,-0.070178,0.61236,0.074016,0.38166,-0.070175,0.6149,0.059534,0.40435,0.3633,0.50408,0.26464,0.43066,19,0.20046,NaN,NaN
0,2,9,10,100,13,0,5,0,0.72222,13,0,5,0,0.72222,13,0,5,0,0.72222,13,0,5,0,0.72222,-0.16824,0.74771,-0.32073,0.9028,-0.19505,0.78427,-0.30626,0.89178,0.34687,0.51142,0.26106,0.43226,18,-0.96105,NaN,NaN
0,2,9,11,100,15,0,2,0,0.88235,15,0,2,0,0.88235,15,0,2,0,0.88235,15,0,2,0,0.88235,-0.32135,0.89575,-0.2096,0.79029,-0.27206,0.85738,-0.11468,0.6694,0.36981,0.51885,0.24465,0.42971,17,-0.5813,NaN,NaN
0,2,9,12,100,16,0,0,0,1,16,0,0,0,1,16,0,0,0,1,16,0,0,0,1,-0.45702,0.96244,-0.62706,0.99534,-0.53824,0.98365,-0.48895,0.9727,0.39644,0.53864,0.21472,0.40283,16,-0.35211,NaN,NaN
0,2,10,1,100,16,0,10,0,0.61538,16,0,10,0,0.61538,16,0,10,0,0.61538,16,0,10,0,0.61538,0.057897,0.38938,-0.23235,0.87331,-0.0051282,0.51066,-0.092698,0.67379,0.053478,0.17466,0.057339,0.17704,26,-0.098681,-0.056539,NaN
0,2,10,2,100,12,0,13,0,0.48,12,0,13,0,0.48,12,0,13,0,0.48,12,0,13,0,0.48,0.18559,0.18722,0.1888,0.18304,0.12308,0.27815,0.37474,0.03247,0.16677,0.30554,0.16883,0.27864,25,-0.13708,-0.19751,NaN
0,2,10,3,100,12,0,12,0,0.5,12,0,12,0,0.5,12,0,12,0,0.5,12,0,12,0,0.5,0.22375,0.14662,0.26319,0.10701,0.20957,0.16207,0.22387,0.14649,0.28291,0.42666,0.28913,0.39744,24,0.30909,0.92137,NaN
0,2,10,4,100,10,0,13,0,0.43478,10,0,13,0,0.43478,10,0,13,0,0.43478,10,0,13,0,0.43478,0.30065,0.081667,0.26109,0.11443,0.33103,0.061539,0.22212,0.15419,0.38127,0.52947,0.38606,0.50571,23,0.97122,1.0929,NaN
0,2,10,5,100,12,0,10,0,0.54545,12,0,10,0,0.54545,12,0,10,0,0.54545,12,0,10,0,0.54545,0.2369,0.14423,0.28408,0.10005,0.32693,0.068805,0.37628,0.042175,0.36327,0.53267,0.35666,0.52344,22,0.91383,0.58863,NaN
